   0.0027s   c ------------------------------------------------------------
   0.0005s   c fastLEC v1.0
   0.0001s   c Author: Xindi Zhang
   0.0000s   c Email: dezhangxd96@gmail.com
   0.0000s   c ------------------------------------------------------------
   0.0000s   c [parser] input file: ../ins/miter_right/bit19/mul19o19.aig
   0.0000s   c [parser] mode: gpuES
   0.0000s   c [parser] threads: 1
   0.0000s   c [parser] timeout: 3600.00 seconds
   0.0000s   c [parser] verbose: 2
   0.0000s   c ------------------------------------------------------------
   0.0000s   c [Prover] Start to parsing AIGER file: ../ins/miter_right/bit19/mul19o19.aig
   0.0000s   c [AIG] successfully load AIGER file with MILOA: 9886 38 0 1 9848
   0.0000s   c [Prover] read AIGER file in 0.000631 seconds
   0.0000s   c [CEC] Starting CEC check...
   0.0000s   c [gpu] Detected 1 CUDA device(s):
   0.0000s   c [gpu] Device 0: NVIDIA GeForce RTX 4090
   0.0000s   c [gpu] - Compute Cap.: 8.9, Glob. Mem.: 23.64 GB, Multipro. Cnt: 128
   0.0000s   c [gpu] - Max Threads/Block: 1024, Max Grid Size: [2^30, 2^15, 2^15]
   0.0000s   c [gpu] - Shared Mem. /Block: 48.00 KB, Warp Size: 32
   0.0000s   c [gpu] PI_num = 38, PO_lit = 126, mem_sz = 175, n_ops = 4318
   0.0000s   c [gpu] r_bits = 32, r_max = 4294967296
   0.0000s   c [gpu] Processing 4294967296 rounds in 32768 batches of 131072 each
   0.6638s   c [gpu] Progress:  27.77% (9100/32768 batches)
   0.6584s   c [gpu] Progress:  28.08% (9200/32768 batches)
   0.6585s   c [gpu] Progress:  28.38% (9300/32768 batches)
   0.6577s   c [gpu] Progress:  28.69% (9400/32768 batches)
   0.6622s   c [gpu] Progress:  28.99% (9500/32768 batches)
   0.6643s   c [gpu] Progress:  29.30% (9600/32768 batches)
   0.6623s   c [gpu] Progress:  29.60% (9700/32768 batches)
   0.6645s   c [gpu] Progress:  29.91% (9800/32768 batches)
   0.6581s   c [gpu] Progress:  30.21% (9900/32768 batches)
   0.6584s   c [gpu] Progress:  30.52% (10000/32768 batches)
   0.6576s   c [gpu] Progress:  30.82% (10100/32768 batches)
   0.6582s   c [gpu] Progress:  31.13% (10200/32768 batches)
   0.6639s   c [gpu] Progress:  31.43% (10300/32768 batches)
   0.6581s   c [gpu] Progress:  31.74% (10400/32768 batches)
   0.6575s   c [gpu] Progress:  32.04% (10500/32768 batches)
   0.6581s   c [gpu] Progress:  32.35% (10600/32768 batches)
   0.6582s   c [gpu] Progress:  32.65% (10700/32768 batches)
   0.6578s   c [gpu] Progress:  32.96% (10800/32768 batches)
   0.6578s   c [gpu] Progress:  33.26% (10900/32768 batches)
   0.6641s   c [gpu] Progress:  33.57% (11000/32768 batches)
   0.6636s   c [gpu] Progress:  33.87% (11100/32768 batches)
   0.6602s   c [gpu] Progress:  34.18% (11200/32768 batches)
   0.6586s   c [gpu] Progress:  34.48% (11300/32768 batches)
   0.6574s   c [gpu] Progress:  34.79% (11400/32768 batches)
   0.6580s   c [gpu] Progress:  35.10% (11500/32768 batches)
   0.6574s   c [gpu] Progress:  35.40% (11600/32768 batches)
   0.6575s   c [gpu] Progress:  35.71% (11700/32768 batches)
   0.6575s   c [gpu] Progress:  36.01% (11800/32768 batches)
   0.6581s   c [gpu] Progress:  36.32% (11900/32768 batches)
   0.6576s   c [gpu] Progress:  36.62% (12000/32768 batches)
   0.6584s   c [gpu] Progress:  36.93% (12100/32768 batches)
   0.6583s   c [gpu] Progress:  37.23% (12200/32768 batches)
   0.6578s   c [gpu] Progress:  37.54% (12300/32768 batches)
   0.6572s   c [gpu] Progress:  37.84% (12400/32768 batches)
   0.6571s   c [gpu] Progress:  38.15% (12500/32768 batches)
   0.6627s   c [gpu] Progress:  38.45% (12600/32768 batches)
   0.6598s   c [gpu] Progress:  38.76% (12700/32768 batches)
   0.6574s   c [gpu] Progress:  39.06% (12800/32768 batches)
   0.6571s   c [gpu] Progress:  39.37% (12900/32768 batches)
   0.6573s   c [gpu] Progress:  39.67% (13000/32768 batches)
   0.6572s   c [gpu] Progress:  39.98% (13100/32768 batches)
   0.6572s   c [gpu] Progress:  40.28% (13200/32768 batches)
   0.6573s   c [gpu] Progress:  40.59% (13300/32768 batches)
   0.6572s   c [gpu] Progress:  40.89% (13400/32768 batches)
   0.6582s   c [gpu] Progress:  41.20% (13500/32768 batches)
   0.6572s   c [gpu] Progress:  41.50% (13600/32768 batches)
   0.6572s   c [gpu] Progress:  41.81% (13700/32768 batches)
   0.6571s   c [gpu] Progress:  42.11% (13800/32768 batches)
   0.6572s   c [gpu] Progress:  42.42% (13900/32768 batches)
   0.6572s   c [gpu] Progress:  42.72% (14000/32768 batches)
   0.6573s   c [gpu] Progress:  43.03% (14100/32768 batches)
   0.6574s   c [gpu] Progress:  43.33% (14200/32768 batches)
   0.6572s   c [gpu] Progress:  43.64% (14300/32768 batches)
   0.6573s   c [gpu] Progress:  43.95% (14400/32768 batches)
   0.6576s   c [gpu] Progress:  44.25% (14500/32768 batches)
   0.6572s   c [gpu] Progress:  44.56% (14600/32768 batches)
   0.6572s   c [gpu] Progress:  44.86% (14700/32768 batches)
   0.6573s   c [gpu] Progress:  45.17% (14800/32768 batches)
   0.6585s   c [gpu] Progress:  45.47% (14900/32768 batches)
   0.6576s   c [gpu] Progress:  45.78% (15000/32768 batches)
   0.6614s   c [gpu] Progress:  46.08% (15100/32768 batches)
   0.6654s   c [gpu] Progress:  46.39% (15200/32768 batches)
   0.6572s   c [gpu] Progress:  46.69% (15300/32768 batches)
   0.6634s   c [gpu] Progress:  47.00% (15400/32768 batches)
   0.6647s   c [gpu] Progress:  47.30% (15500/32768 batches)
   0.6576s   c [gpu] Progress:  47.61% (15600/32768 batches)
   0.6638s   c [gpu] Progress:  47.91% (15700/32768 batches)
   0.6641s   c [gpu] Progress:  48.22% (15800/32768 batches)
   0.6628s   c [gpu] Progress:  48.52% (15900/32768 batches)
   0.6594s   c [gpu] Progress:  48.83% (16000/32768 batches)
   0.6641s   c [gpu] Progress:  49.13% (16100/32768 batches)
   0.6575s   c [gpu] Progress:  49.44% (16200/32768 batches)
   0.6639s   c [gpu] Progress:  49.74% (16300/32768 batches)
   0.6640s   c [gpu] Progress:  50.05% (16400/32768 batches)
   0.6589s   c [gpu] Progress:  50.35% (16500/32768 batches)
   0.6636s   c [gpu] Progress:  50.66% (16600/32768 batches)
   0.6571s   c [gpu] Progress:  50.96% (16700/32768 batches)
   0.6571s   c [gpu] Progress:  51.27% (16800/32768 batches)
   0.6572s   c [gpu] Progress:  51.57% (16900/32768 batches)
   0.6571s   c [gpu] Progress:  51.88% (17000/32768 batches)
   0.6572s   c [gpu] Progress:  52.19% (17100/32768 batches)
   0.6571s   c [gpu] Progress:  52.49% (17200/32768 batches)
   0.6573s   c [gpu] Progress:  52.80% (17300/32768 batches)
   0.6574s   c [gpu] Progress:  53.10% (17400/32768 batches)
   0.6572s   c [gpu] Progress:  53.41% (17500/32768 batches)
   0.6573s   c [gpu] Progress:  53.71% (17600/32768 batches)
   0.6574s   c [gpu] Progress:  54.02% (17700/32768 batches)
   0.6572s   c [gpu] Progress:  54.32% (17800/32768 batches)
   0.6633s   c [gpu] Progress:  54.63% (17900/32768 batches)
   0.6572s   c [gpu] Progress:  54.93% (18000/32768 batches)
   0.6579s   c [gpu] Progress:  55.24% (18100/32768 batches)
   0.6572s   c [gpu] Progress:  55.54% (18200/32768 batches)
   0.6572s   c [gpu] Progress:  55.85% (18300/32768 batches)
   0.6571s   c [gpu] Progress:  56.15% (18400/32768 batches)
   0.6579s   c [gpu] Progress:  56.46% (18500/32768 batches)
   0.6572s   c [gpu] Progress:  56.76% (18600/32768 batches)
   0.6572s   c [gpu] Progress:  57.07% (18700/32768 batches)
   0.6574s   c [gpu] Progress:  57.37% (18800/32768 batches)
   0.6575s   c [gpu] Progress:  57.68% (18900/32768 batches)
   0.6576s   c [gpu] Progress:  57.98% (19000/32768 batches)
   0.6576s   c [gpu] Progress:  58.29% (19100/32768 batches)
   0.6597s   c [gpu] Progress:  58.59% (19200/32768 batches)
   0.6577s   c [gpu] Progress:  58.90% (19300/32768 batches)
   0.6585s   c [gpu] Progress:  59.20% (19400/32768 batches)
   0.6608s   c [gpu] Progress:  59.51% (19500/32768 batches)
   0.6574s   c [gpu] Progress:  59.81% (19600/32768 batches)
   0.6585s   c [gpu] Progress:  60.12% (19700/32768 batches)
   0.6584s   c [gpu] Progress:  60.42% (19800/32768 batches)
   0.6576s   c [gpu] Progress:  60.73% (19900/32768 batches)
   0.6577s   c [gpu] Progress:  61.04% (20000/32768 batches)
   0.6574s   c [gpu] Progress:  61.34% (20100/32768 batches)
   0.6624s   c [gpu] Progress:  61.65% (20200/32768 batches)
   0.6572s   c [gpu] Progress:  61.95% (20300/32768 batches)
   0.6585s   c [gpu] Progress:  62.26% (20400/32768 batches)
   0.6582s   c [gpu] Progress:  62.56% (20500/32768 batches)
   0.6630s   c [gpu] Progress:  62.87% (20600/32768 batches)
   0.6618s   c [gpu] Progress:  63.17% (20700/32768 batches)
   0.6631s   c [gpu] Progress:  63.48% (20800/32768 batches)
   0.6657s   c [gpu] Progress:  63.78% (20900/32768 batches)
   0.6598s   c [gpu] Progress:  64.09% (21000/32768 batches)
   0.6640s   c [gpu] Progress:  64.39% (21100/32768 batches)
   0.6618s   c [gpu] Progress:  64.70% (21200/32768 batches)
   0.6579s   c [gpu] Progress:  65.00% (21300/32768 batches)
   0.6633s   c [gpu] Progress:  65.31% (21400/32768 batches)
   0.6574s   c [gpu] Progress:  65.61% (21500/32768 batches)
   0.6574s   c [gpu] Progress:  65.92% (21600/32768 batches)
   0.6591s   c [gpu] Progress:  66.22% (21700/32768 batches)
   0.6593s   c [gpu] Progress:  66.53% (21800/32768 batches)
   0.6574s   c [gpu] Progress:  66.83% (21900/32768 batches)
   0.6574s   c [gpu] Progress:  67.14% (22000/32768 batches)
   0.6605s   c [gpu] Progress:  67.44% (22100/32768 batches)
   0.6585s   c [gpu] Progress:  67.75% (22200/32768 batches)
   0.6576s   c [gpu] Progress:  68.05% (22300/32768 batches)
   0.6573s   c [gpu] Progress:  68.36% (22400/32768 batches)
   0.6573s   c [gpu] Progress:  68.66% (22500/32768 batches)
   0.6573s   c [gpu] Progress:  68.97% (22600/32768 batches)
   0.6604s   c [gpu] Progress:  69.27% (22700/32768 batches)
   0.6573s   c [gpu] Progress:  69.58% (22800/32768 batches)
   0.6573s   c [gpu] Progress:  69.89% (22900/32768 batches)
   0.6573s   c [gpu] Progress:  70.19% (23000/32768 batches)
   0.6575s   c [gpu] Progress:  70.50% (23100/32768 batches)
   0.6574s   c [gpu] Progress:  70.80% (23200/32768 batches)
   0.6573s   c [gpu] Progress:  71.11% (23300/32768 batches)
   0.6576s   c [gpu] Progress:  71.41% (23400/32768 batches)
   0.6576s   c [gpu] Progress:  71.72% (23500/32768 batches)
   0.6577s   c [gpu] Progress:  72.02% (23600/32768 batches)
   0.6576s   c [gpu] Progress:  72.33% (23700/32768 batches)
   0.6575s   c [gpu] Progress:  72.63% (23800/32768 batches)
   0.6575s   c [gpu] Progress:  72.94% (23900/32768 batches)
   0.6576s   c [gpu] Progress:  73.24% (24000/32768 batches)
   0.6574s   c [gpu] Progress:  73.55% (24100/32768 batches)
   0.6573s   c [gpu] Progress:  73.85% (24200/32768 batches)
   0.6574s   c [gpu] Progress:  74.16% (24300/32768 batches)
   0.6573s   c [gpu] Progress:  74.46% (24400/32768 batches)
   0.6573s   c [gpu] Progress:  74.77% (24500/32768 batches)
   0.6592s   c [gpu] Progress:  75.07% (24600/32768 batches)
   0.6586s   c [gpu] Progress:  75.38% (24700/32768 batches)
   0.6573s   c [gpu] Progress:  75.68% (24800/32768 batches)
   0.6572s   c [gpu] Progress:  75.99% (24900/32768 batches)
   0.6573s   c [gpu] Progress:  76.29% (25000/32768 batches)
   0.6573s   c [gpu] Progress:  76.60% (25100/32768 batches)
   0.6573s   c [gpu] Progress:  76.90% (25200/32768 batches)
   0.6574s   c [gpu] Progress:  77.21% (25300/32768 batches)
   0.6576s   c [gpu] Progress:  77.51% (25400/32768 batches)
   0.6594s   c [gpu] Progress:  77.82% (25500/32768 batches)
   0.6577s   c [gpu] Progress:  78.12% (25600/32768 batches)
   0.6574s   c [gpu] Progress:  78.43% (25700/32768 batches)
   0.6588s   c [gpu] Progress:  78.74% (25800/32768 batches)
   0.6584s   c [gpu] Progress:  79.04% (25900/32768 batches)
   0.6573s   c [gpu] Progress:  79.35% (26000/32768 batches)
   0.6574s   c [gpu] Progress:  79.65% (26100/32768 batches)
   0.6585s   c [gpu] Progress:  79.96% (26200/32768 batches)
   0.6588s   c [gpu] Progress:  80.26% (26300/32768 batches)
   0.6604s   c [gpu] Progress:  80.57% (26400/32768 batches)
   0.6579s   c [gpu] Progress:  80.87% (26500/32768 batches)
   0.6579s   c [gpu] Progress:  81.18% (26600/32768 batches)
   0.6584s   c [gpu] Progress:  81.48% (26700/32768 batches)
   0.6589s   c [gpu] Progress:  81.79% (26800/32768 batches)
   0.6581s   c [gpu] Progress:  82.09% (26900/32768 batches)
   0.6577s   c [gpu] Progress:  82.40% (27000/32768 batches)
   0.6575s   c [gpu] Progress:  82.70% (27100/32768 batches)
   0.6578s   c [gpu] Progress:  83.01% (27200/32768 batches)
   0.6575s   c [gpu] Progress:  83.31% (27300/32768 batches)
   0.6574s   c [gpu] Progress:  83.62% (27400/32768 batches)
   0.6573s   c [gpu] Progress:  83.92% (27500/32768 batches)
   0.6575s   c [gpu] Progress:  84.23% (27600/32768 batches)
   0.6599s   c [gpu] Progress:  84.53% (27700/32768 batches)
   0.6598s   c [gpu] Progress:  84.84% (27800/32768 batches)
   0.6598s   c [gpu] Progress:  85.14% (27900/32768 batches)
   0.6597s   c [gpu] Progress:  85.45% (28000/32768 batches)
   0.6599s   c [gpu] Progress:  85.75% (28100/32768 batches)
   0.6610s   c [gpu] Progress:  86.06% (28200/32768 batches)
   0.6605s   c [gpu] Progress:  86.36% (28300/32768 batches)
   0.6600s   c [gpu] Progress:  86.67% (28400/32768 batches)
   0.6601s   c [gpu] Progress:  86.98% (28500/32768 batches)
   0.6601s   c [gpu] Progress:  87.28% (28600/32768 batches)
   0.6600s   c [gpu] Progress:  87.59% (28700/32768 batches)
   0.6601s   c [gpu] Progress:  87.89% (28800/32768 batches)
   0.6600s   c [gpu] Progress:  88.20% (28900/32768 batches)
   0.6598s   c [gpu] Progress:  88.50% (29000/32768 batches)
   0.6605s   c [gpu] Progress:  88.81% (29100/32768 batches)
   0.6607s   c [gpu] Progress:  89.11% (29200/32768 batches)
   0.6603s   c [gpu] Progress:  89.42% (29300/32768 batches)
   0.6653s   c [gpu] Progress:  89.72% (29400/32768 batches)
   0.6611s   c [gpu] Progress:  90.03% (29500/32768 batches)
   0.6608s   c [gpu] Progress:  90.33% (29600/32768 batches)
   0.6601s   c [gpu] Progress:  90.64% (29700/32768 batches)
   0.6612s   c [gpu] Progress:  90.94% (29800/32768 batches)
   0.6616s   c [gpu] Progress:  91.25% (29900/32768 batches)
   0.6599s   c [gpu] Progress:  91.55% (30000/32768 batches)
   0.6646s   c [gpu] Progress:  91.86% (30100/32768 batches)
   0.6609s   c [gpu] Progress:  92.16% (30200/32768 batches)
   0.6604s   c [gpu] Progress:  92.47% (30300/32768 batches)
   0.6614s   c [gpu] Progress:  92.77% (30400/32768 batches)
   0.6616s   c [gpu] Progress:  93.08% (30500/32768 batches)
   0.6666s   c [gpu] Progress:  93.38% (30600/32768 batches)
   0.6601s   c [gpu] Progress:  93.69% (30700/32768 batches)
   0.6607s   c [gpu] Progress:  93.99% (30800/32768 batches)
   0.6613s   c [gpu] Progress:  94.30% (30900/32768 batches)
   0.6614s   c [gpu] Progress:  94.60% (31000/32768 batches)
   0.6616s   c [gpu] Progress:  94.91% (31100/32768 batches)
   0.6611s   c [gpu] Progress:  95.21% (31200/32768 batches)
   0.6614s   c [gpu] Progress:  95.52% (31300/32768 batches)
   0.6610s   c [gpu] Progress:  95.83% (31400/32768 batches)
   0.6599s   c [gpu] Progress:  96.13% (31500/32768 batches)
   0.6606s   c [gpu] Progress:  96.44% (31600/32768 batches)
   0.6615s   c [gpu] Progress:  96.74% (31700/32768 batches)
   0.6606s   c [gpu] Progress:  97.05% (31800/32768 batches)
   0.6667s   c [gpu] Progress:  97.35% (31900/32768 batches)
   0.6602s   c [gpu] Progress:  97.66% (32000/32768 batches)
   0.6606s   c [gpu] Progress:  97.96% (32100/32768 batches)
   0.6605s   c [gpu] Progress:  98.27% (32200/32768 batches)
   0.6599s   c [gpu] Progress:  98.57% (32300/32768 batches)
   0.6612s   c [gpu] Progress:  98.88% (32400/32768 batches)
   0.6606s   c [gpu] Progress:  99.18% (32500/32768 batches)
   0.6600s   c [gpu] Progress:  99.49% (32600/32768 batches)
   0.4429s   c [gpu] Progress:  99.79% (32700/32768 batches)
   0.0002s   c [gpuES] result = 20 [time = 216.00]
   0.0000s   c [CEC] CEC check completed in 215.996399 seconds
   0.0000s   s Equivalent.
   0.0109s   c Runtime: 215.997 seconds
             
     Total   215.8871s
